Date Added,Company Name,Trade,City,Website,Main Phone,Owner/Manager Name,Email,Lead Source Guess (Google Ads / LSA / Organic / Unknown),First Call Attempt,First Call Outcome,Email Sent,Follow-Up Call Date,Follow-Up Outcome,Demo Booked,Demo Date,Proposal Sent,Pilot Status,Notes
2026-04-24,TemperaturePro,HVAC,Tulsa,https://temperaturepro.com/tulsa-ok/,918-480-8701,,,Unknown,,,,,,No,,,New,"Source: Today's Homeowner Tulsa HVAC roundup"
2026-04-24,ProThermal Heating and Cooling,HVAC,Tulsa,https://www.prothermalhvac.com/,918-807-8364,,,Unknown,,,,,,No,,,New,"Source: Today's Homeowner Tulsa HVAC roundup"
2026-04-24,Innovative Air Pros,HVAC,Jenks,https://innovativeairpros.com/,918-205-1615,,,Unknown,,,,,,No,,,New,"Source: Today's Homeowner Tulsa HVAC roundup"
2026-04-24,Dowd Heat and Air,HVAC,Tulsa,https://dowdheatandair.com/,918-437-3721,,,Unknown,,,,,,No,,,New,"Source: Today's Homeowner / Discover Tulsa"
2026-04-24,Aire Serv of South Tulsa,HVAC,Bixby,https://www.aireserv.com/south-tulsa/,918-518-1492,,,Unknown,,,,,,No,,,New,"Source: Today's Homeowner Tulsa HVAC roundup"
2026-04-24,ASAP Heating & Air Inc,HVAC,Tulsa,https://asapheatandair.com/,918-727-2727,,,Unknown,,,,,,No,,,New,"Source: Today's Homeowner Tulsa HVAC roundup"
2026-04-24,True Blue Heating & Cooling,HVAC,Tulsa,https://www.trueblueac.com/,918-341-4240,,,Unknown,,,,,,No,,,New,"Source: Today's Homeowner / Discover Tulsa"
2026-04-24,Superior Air Services,HVAC,Tulsa,https://superiorairservices.com/,918-357-2248,,,Unknown,,,,,,No,,,New,"Source: Today's Homeowner Tulsa HVAC roundup"
2026-04-24,Airco Service,HVAC,Langley,https://www.aircoservice.com/,918-216-0079,,,Unknown,,,,,,No,,,New,"Source: Today's Homeowner / Discover Tulsa"
2026-04-24,All Seasons Heating & Air Conditioning,HVAC,Broken Arrow,https://tulsahomeservices.com/,918-455-5993,,,Unknown,,,,,,No,,,New,"Source: Today's Homeowner Tulsa HVAC roundup"
2026-04-24,Sargent's Plumbing and Drain,Plumbing,Tulsa,https://sgtplumbing.com/locations/tulsa-ok/,918-380-5637,,,Unknown,,,,,,No,,,New,"Source: Discover Tulsa / DDG"
2026-04-24,Acts of Service Plumbing,Plumbing,Tulsa,https://actsofserviceplumbing.com/,918-891-1737,,,Unknown,,,,,,No,,,New,"Source: Discover Tulsa"
2026-04-24,Wooten Knockout Plumbing,Plumbing,Tulsa,https://www.wootenplumbing.com/,918-241-3900,,,Unknown,,,,,,No,,,New,"Source: Discover Tulsa / company site"
2026-04-24,Half Moon Plumbing,Plumbing,Tulsa,https://halfmoonplumbing.com/,918-205-2487,,,Unknown,,,,,,No,,,New,"Source: Discover Tulsa"
2026-04-24,Allied Plumbing Service,Plumbing,Tulsa,https://www.alliedplumbingservice.com/,918-744-1000,,,Unknown,,,,,,No,,,New,"Source: Discover Tulsa"
2026-04-24,Duvall Plumbing Company,Plumbing,Tulsa,https://duvallplumbingco.com/,918-221-5662,,,Unknown,,,,,,No,,,New,"Source: Discover Tulsa"
2026-04-24,York Plumbing and Mechanical,Plumbing,Tulsa,https://www.yorkplumbingtulsa.com/,918-833-3200,,,Unknown,,,,,,No,,,New,"Source: Discover Tulsa / DDG"
2026-04-24,Infinity Plumbing Services,Plumbing,Tulsa,https://www.infinityplumbingservices.com/,918-258-1818,,,Unknown,,,,,,No,,,New,"Source: Discover Tulsa"
2026-04-24,Tulsa Roofing Company,Roofing,Tulsa,https://tulsaroofco.com/,918-205-9661,,,Unknown,,,,,,No,,,New,"Source: DDG"
2026-04-24,Priority Roofing,Roofing,Tulsa,https://priorityroofs.com/location/tulsa/,918-550-2354,,,Unknown,,,,,,No,,,New,"Source: DDG"
2026-04-24,BOLD Roofworks,Roofing,Tulsa,https://boldroofworks.com/,918-280-9171,,,Unknown,,,,,,No,,,New,"Source: DDG"
2026-04-24,Roof Co.,Roofing,Tulsa,https://okroofco.com/,918-921-4400,,,Unknown,,,,,,No,,,New,"Source: DDG"
2026-04-24,Pro-Tech Roofing,Roofing,Tulsa,https://www.tulsaprotech.com/,918-250-7663,,,Unknown,,,,,,No,,,New,"Source: DDG"
2026-04-24,Arrowhead Roofing,Roofing,Tulsa,https://www.arrowheadroofing.com/,918-743-9257,,,Unknown,,,,,,No,,,New,"Source: DDG"
2026-04-24,Hot Shot Electric LLC,Electrical,Tulsa,https://hotshotelectrical.com/tulsa-electrician/,918-261-8024,,,Unknown,,,,,,No,,,New,"Source: DDG"
2026-04-24,Houchin Electric,Electrical,Tulsa,https://www.houchinelectric.com/,918-663-1818,,,Unknown,,,,,,No,,,New,"Source: DDG"
2026-04-24,Tulsa Electric LLC,Electrical,Tulsa,https://tulsaelectricllc.com/,918-992-5233,,,Unknown,,,,,,No,,,New,"Source: DDG"
2026-04-24,FireFly Electricians,Electrical,Tulsa,https://fireflyelectricians.com/,918-804-9222,,,Unknown,,,,,,No,,,New,"Source: DDG"
2026-04-24,Mr. Electric of Tulsa,Electrical,Tulsa,https://mrelectric.com/tulsa,833-785-6698,,,Unknown,,,,,,No,,,New,"Source: company site"
2026-04-24,Tulsa Insulation Company,Insulation,Tulsa,https://www.istulsa.com/home,918-232-9055,,,Unknown,,,,,,No,,,New,"Source: DDG"
2026-04-24,Rise Foam Insulation,Insulation,Tulsa,https://risefoam.com/,918-520-8485,,,Unknown,,,,,,No,,,New,"Source: DDG"
2026-04-24,Overhead Door Company of Tulsa,Garage Door,Tulsa,https://overheaddoortulsa.com/,918-836-2546,,,Unknown,,,,,,No,,,New,"Source: DDG"
2026-04-24,Superior Overhead Doors,Garage Door,Tulsa,https://superioroverheaddoors.com/,918-228-5333,,,Unknown,,,,,,No,,,New,"Source: DDG"
2026-04-24,Discount Garage Door,Garage Door,Tulsa,https://okdiscountgaragedoor.com/,918-234-3667,,,Unknown,,,,,,No,,,New,"Source: DDG"
2026-04-24,Tulsa Garage Door Pros,Garage Door,Tulsa,https://tulsagaragedoorpros.com/,918-897-0025,,,Unknown,,,,,,No,,,New,"Source: DDG"
